priority,id,class,phyloP,phastCons,denovo,lnTPM,max_Lu_riboTPM,validated by 2nd method
199,3308.1,utORFs,1.46752470546621,0.9152901239260559,No,1.97493177514344,0.10576300000000001,No
200,4511.1,utORFs,0.626043872613656,0.5810789474788559,No,2.805270797322709,1.347416,No
201,3656.1,utORFs,2.24202298654816,0.768512644343902,Yes,3.4439429010217792,0.376161,No
202,2674.1,fast-evolving,-0.0418809560304951,0.138476190630287,Yes,2.5855422455717063,0.0,No
203,916.1,utORFs,1.4929827058433403,0.640618519236357,Yes,3.3666770178720897,0.344366,No
204,4858.1,utORFs,1.54552000458663,0.8778533339500431,Yes,1.7821300885315416,0.132673,No
205,2046.1,unassigned,0.0,0.0,No,2.488748759422944,0.0,No
206,764.1,utORFs,1.8709781372034198,0.9176174851046629,No,1.8969446695190404,0.10665699999999999,No
207,2720.1,alt-frame,1.83930371053241,0.927851852008004,No,1.8286491021390998,0.111411,No
208,1563.1,alt-frame,0.37944444700109703,0.596407407434818,No,0.4836093995447504,0.191421,No
209,1833.1,unassigned,0.0,0.0,No,0.3883250530185537,0.210954,No
210,1011.1,utORFs,0.9779509963997289,0.39358333393465705,Yes,3.2286796103306523,0.304417,No
211,704.2,utORFs,2.40099320415452,0.921877552067772,Yes,1.640873980634979,0.14708,No
212,4171.1,fast-evolving,0.0578809520257415,0.15578571466973,No,2.3289680809726447,0.0,No
213,4206.2,mel-specific,0.0611296276409159,0.327420634731574,No,2.3286053117301337,0.0,No
214,2455.1,mel-specific,1.93482740569736,0.664439716903673,Yes,4.131534978537411,0.162333,No
215,2687.1,utORFs,1.7444138766601798,0.79385011190037,Yes,3.2696141853083867,0.270326,No
216,711.1,fast-evolving,0.154111109820574,0.125537036245482,No,2.27922362653541,0.0,No
217,229.1,mel-specific,-0.00498554438707374,0.000679421772468411,No,2.2789801761481274,0.0,No
218,2376.1,alt-frame,1.53627223646165,0.830694445287291,No,1.9192039784741424,0.080161,No
219,4521.1,utORFs,1.39382113723607,0.859292684531793,Yes,1.3306360274791915,0.292566,No
220,249.1,utORFs,1.06058823949128,0.6129673223210551,Yes,3.7478243129770106,0.180283,No
221,1776.1,mel-specific,-0.08799225058002301,0.00968217059912146,Yes,2.2657991094796164,0.0,No
222,504.1,alt-frame,1.60715624774457,0.8305624995021691,No,1.3088618688681477,0.286514,No
223,2161.1,utORFs,1.1432448947140101,0.809333333337749,Yes,1.6430595182619327,0.11954100000000001,No
224,1433.1,utORFs,0.647263885915486,0.292680555430707,Yes,2.460661599526666,0.722129,No
